#Version 2015
#Educación
GOETHE INSTITUT;Education
INTERES CAPITALIZADO;Income:Interest Income:Savings Interest
ATALAYA;Expenses:Dining
HIPER CHASCOMUS SRL;Expenses:Groceries
SUBSIDIO VACACIONAL;Income:Other Income
#Tarjetas
PAGO TARJETA VISA;Liabilities:Visa
PAGO TARJETA MASTERCARD-INTERNET B. OPERACIÓN;Liabilities:MasterCard
DEPORTES JUAN MANUEL;Expenses:Entertainment:Recreation
YPF;Expenses:Auto:Gas
EXTRACCION POR CAJEROS AUTOMATICOS;Assets:Current Assets:Efectivo
DEVOL.IVA 4.13%;Income:Interest Income:Other Interest
COMPRA DE DOLARES;Assets:Current Assets:USD-Casa
ACREDITAMIENTO DE HABERES;Income:Salary:Autotrol
DIA %;Expenses:Groceries
TIENDA DIA;Expenses:Groceries
COMPUTACION;Expenses:Computer
FARMACITY;Expenses:Medical Expenses
SBUX;Expenses:Dining
ORTOPEDIA SIMONYAN;Expenses:Medical Expenses
MARIA VALERIA;Expenses:Clothes
LUNA DEL SUR;Expenses:Dining
FARMACIA;Expenses:Medical Expenses
CLUB FERRO CARRIL OESTE;Expenses:Hobbies
CAFE;Expenses:Dining
FREDDO;Expenses:Dining
ANIMALANDIA;Expenses:Miscellaneous
LA QUERENCIA;Expenses:Dining
PROMO BONIFICACION GALICIA;Income:Other Income
EASY;Expenses:Miscellaneous
SANITARIOS CAROSIO;Expenses:Miscellaneous
SUELDO ANUAL COMPLEMENTARIO;Income:Bonus
SAN HUA;Expenses:Groceries
HABERES INSTITUTO TECNOL;Income:Salary:ITBA
AVE CAESAR;Expenses:Dining
MOSTAZA HAMBURGUESAS;Expenses:Dining
JAUJA;Expenses:Dining
ACA-BELGRANO;Expenses:Auto:Gas
FARMACIA LAVOSIER;Expenses:Medical Expenses
FARMACITY;Expenses:Medical Expenses
Carrefour;Expenses:Groceries
STARBUCKS;Expenses:Dining
PIACERE;Expenses:Dining
MC DONALDS;Expenses:Dining
COMPRA CON TARJETA GALICIA 24 A482 ZIRKEL;Expenses:Dining
MANHATTAN CLUB;Expenses:Dining
GNC PLUS;Expenses:Auto:Gas
FARMACIA ALBERDI;Expenses:Medical Expenses
SULPROM SA;Expenses:Phone
LEONARDO;Expenses:Clothes
REEMBOLSO GASTOS;Assets:Cash
MONDO SPAGUETTI;Expenses:Dining
GREEN EAT SA;Expenses:Dining
PROBIKES;Expenses:Hobbies
SOLO DEPORTES;Expenses:Hobbies
STRADA PACIFICO;Expenses:Dining
CARDA;Expenses:Dining
